CODE,ALIAS_CODE,ALIAS_TYPE
DE313,DEA24,NUTS3
DE323,DEA33,NUTS3
DE333,DEA58,NUTS3
DE343,DEB17,NUTS3
DE350,DEB32,NUTS3
DE357,DEB3B,NUTS3
DE367,DEC04,NUTS3
DE377,DED53,NUTS3
DE387,DEE0E,NUTS3
DE162,DE224,NUTS3
DE169,DE232,NUTS3
DE179,DE246,NUTS3
DE189,DE257,NUTS3
DE196,DE264,NUTS3
DE206,DE277,NUTS3
DE216,DE404,NUTS3
DE226,DE40G,NUTS3
DE233,DE712,NUTS3
DE243,DE71C,NUTS3
DE250,DE733,NUTS3
DE260,DE80N,NUTS3
DE270,DE91A,NUTS3
DE280,DE934,NUTS3
DE287,DE944,NUTS3
DE297,DE94G,NUTS3
DE304,DEA17,NUTS3
DE314,DEA26,NUTS3
DE324,DEA35,NUTS3
DE334,DEA59,NUTS3
DE344,DEB18,NUTS3
DE354,DEB37,NUTS3
DE361,DEB3G,NUTS3
DE371,DED2D,NUTS3
DE381,DEE07,NUTS3
DE163,DE225,NUTS3
DE170,DE234,NUTS3
DE180,DE247,NUTS3
DE190,DE25A,NUTS3
DE197,DE265,NUTS3
DE207,DE278,NUTS3
DE217,DE405,NUTS3
DE227,DE40H,NUTS3
DE234,DE713,NUTS3
DE244,DE71E,NUTS3
DE251,DE735,NUTS3
DE261,DE80O,NUTS3
DE271,DE91B,NUTS3
DE281,DE937,NUTS3
DE288,DE947,NUTS3
DE298,DE94H,NUTS3
DE305,DEA18,NUTS3
DE315,DEA27,NUTS3
DE325,DEA37,NUTS3
DE335,DEA5A,NUTS3
DE352,DEB34,NUTS3
DE359,DEB3D,NUTS3
DE369,DED21,NUTS3
DE379,DEE03,NUTS3
DE389,DEF02,NUTS3
DE164,DE226,NUTS3
DE171,DE235,NUTS3
DE181,DE248,NUTS3
DE191,DE25B,NUTS3
DE198,DE266,NUTS3
DE208,DE27A,NUTS3
DE218,DE406,NUTS3
DE228,DE40I,NUTS3
DE235,DE714,NUTS3
DE245,DE721,NUTS3
DE252,DE736,NUTS3
DE262,DE912,NUTS3
DE272,DE922,NUTS3
DE282,DE93A,NUTS3
DE289,DE948,NUTS3
DE299,DEA11,NUTS3
DE306,DEA19,NUTS3
DE316,DEA28,NUTS3
DE326,DEA41,NUTS3
DE336,DEA5B,NUTS3
DE353,DEB35,NUTS3
DE360,DEB3E,NUTS3
DE370,DED2C,NUTS3
DE380,DEE04,NUTS3
DE165,DE227,NUTS3
DE172,DE237,NUTS3
DE182,DE249,NUTS3
DE192,DE25C,NUTS3
DE199,DE269,NUTS3
DE209,DE27B,NUTS3
DE219,DE407,NUTS3
DE236,DE715,NUTS3
DE246,DE722,NUTS3
DE253,DE737,NUTS3
DE263,DE913,NUTS3
DE273,DE923,NUTS3
DE283,DE93B,NUTS3
DE290,DE949,NUTS3
DE300,DEA12,NUTS3
DE307,DEA1A,NUTS3
DE317,DEA29,NUTS3
DE327,DEA42,NUTS3
DE337,DEA5C,NUTS3
DE351,DEB33,NUTS3
DE358,DEB3C,NUTS3
DE368,DEC06,NUTS3
DE378,DEE01,NUTS3
DE388,DEF01,NUTS3
DE166,DE229,NUTS3
DE173,DE238,NUTS3
DE183,DE24A,NUTS3
DE200,DE26A,NUTS3
DE210,DE27D,NUTS3
DE220,DE408,NUTS3
DE237,DE716,NUTS3
DE254,DE803,NUTS3
DE264,DE914,NUTS3
DE274,DE925,NUTS3
DE284,DE941,NUTS3
DE291,DE94A,NUTS3
DE301,DEA13,NUTS3
DE308,DEA1C,NUTS3
DE318,DEA2B,NUTS3
DE328,DEA43,NUTS3
DE338,DEB11,NUTS3
DE345,DEB1B,NUTS3
DE355,DEB38,NUTS3
DE362,DEB3H,NUTS3
DE372,DED2E,NUTS3
DE382,DEE08,NUTS3
DE167,DE22C,NUTS3
DE174,DE23A,NUTS3
DE184,DE24D,NUTS3
DE201,DE271,NUTS3
DE211,DE27E,NUTS3
DE221,DE409,NUTS3
DE238,DE717,NUTS3
DE255,DE804,NUTS3
DE265,DE915,NUTS3
DE275,DE926,NUTS3
DE285,DE942,NUTS3
DE292,DE94B,NUTS3
DE309,DEA1D,NUTS3
DE319,DEA2C,NUTS3
DE329,DEA44,NUTS3
DE339,DEB12,NUTS3
DE346,DEB22,NUTS3
DE363,DEB3I,NUTS3
DE373,DED2F,NUTS3
DE383,DEE09,NUTS3
DE168,DE231,NUTS3
DE175,DE241,NUTS3
DE185,DE251,NUTS3
DE202,DE273,NUTS3
DE212,DE300,NUTS3
DE222,DE40A,NUTS3
DE229,DE501,NUTS3
DE239,DE718,NUTS3
DE256,DE80J,NUTS3
DE266,DE916,NUTS3
DE276,DE927,NUTS3
DE286,DE943,NUTS3
DE293,DE94C,NUTS3
DE310,DEA1E,NUTS3
DE320,DEA2D,NUTS3
DE330,DEA46,NUTS3
DE340,DEB13,NUTS3
DE347,DEB23,NUTS3
DE364,DEB3J,NUTS3
DE374,DED42,NUTS3
DE384,DEE0A,NUTS3
DE176,DE243,NUTS3
DE186,DE253,NUTS3
DE193,DE261,NUTS3
DE203,DE274,NUTS3
DE213,DE401,NUTS3
DE223,DE40B,NUTS3
DE230,DE502,NUTS3
DE240,DE719,NUTS3
DE247,DE723,NUTS3
DE257,DE80K,NUTS3
DE267,DE917,NUTS3
DE277,DE929,NUTS3
DE294,DE94D,NUTS3
DE311,DEA22,NUTS3
DE321,DEA31,NUTS3
DE331,DEA53,NUTS3
DE341,DEB15,NUTS3
DE348,DEB25,NUTS3
DE365,DEC01,NUTS3
DE375,DED43,NUTS3
DE385,DEE0B,NUTS3
DE177,DE244,NUTS3
DE187,DE254,NUTS3
DE194,DE262,NUTS3
DE204,DE275,NUTS3
DE214,DE402,NUTS3
DE224,DE40C,NUTS3
DE231,DE600,NUTS3
DE241,DE71A,NUTS3
DE248,DE725,NUTS3
DE258,DE80L,NUTS3
DE268,DE918,NUTS3
DE278,DE932,NUTS3
DE295,DE94E,NUTS3
DE302,DEA14,NUTS3
DE312,DEA23,NUTS3
DE322,DEA32,NUTS3
DE332,DEA55,NUTS3
DE342,DEB16,NUTS3
DE349,DEB31,NUTS3
DE356,DEB39,NUTS3
DE366,DEC02,NUTS3
DE376,DED44,NUTS3
DE386,DEE0D,NUTS3
DE390,DEF03,NUTS3
DE391,DEF04,NUTS3
DE392,DEF05,NUTS3
DE393,DEF06,NUTS3
DE394,DEF07,NUTS3
DE395,DEF08,NUTS3
DE396,DEF0A,NUTS3
DE397,DEF0B,NUTS3
DE398,DEF0C,NUTS3
DE399,DEF0D,NUTS3
DE400,DEF0E,NUTS3
DE401,DEF0F,NUTS3
DE402,DEG01,NUTS3
DE403,DEG03,NUTS3
DE404,DEG04,NUTS3
DE405,DEG06,NUTS3
DE406,DEG07,NUTS3
DE407,DEG09,NUTS3
DE408,DEG0A,NUTS3
DE409,DEG0B,NUTS3
DE410,DEG0C,NUTS3
DE411,DEG0D,NUTS3
DE412,DEG0E,NUTS3
DE413,DEG0F,NUTS3
DE414,DEG0G,NUTS3
DE415,DEG0H,NUTS3
DE416,DEG0J,NUTS3
DE417,DEG0K,NUTS3
DE418,DEG0L,NUTS3
DE419,DEG0M,NUTS3
DE420,DEG0N,NUTS3
DE421,DEG0P,NUTS3
DE801,501000005,WARNCELL
DE802,501000001,WARNCELL
DE803,501000002,WARNCELL
DE804,501000004,WARNCELL
DE805,501000003,WARNCELL
DE806,501000007,WARNCELL
DE807,501000008,WARNCELL
DE808,501000006,WARNCELL
DK001,DK050,NUTS3
DK002,DK041,NUTS3
DK003,DK014,NUTS3
DK004,DK042,NUTS3
DK005,DK032,NUTS3
DK006,DK031,NUTS3
DK007,DK022,NUTS3
DK008,DK012,NUTS3
DK008,DK013,NUTS3
DK008,DK011,NUTS3
DK008,DK021,NUTS3
EE001,EE004,NUTS3
EE004,EE001,NUTS3
EE005,EE006,NUTS3
EE006,EE007,NUTS3
EE010,EE008,NUTS3
ES070,ES611,NUTS3
ES074,ES612,NUTS3
ES078,ES613,NUTS3
ES081,ES614,NUTS3
ES085,ES615,NUTS3
ES088,ES616,NUTS3
ES092,ES617,NUTS3
ES096,ES618,NUTS3
ES099,ES241,NUTS3
ES102,ES242,NUTS3
ES128,ES706,NUTS3
ES148,ES414,NUTS3
ES164,ES422,NUTS3
ES189,ES514,NUTS3
ES206,ES112,NUTS3
ES105,ES243,NUTS3
ES150,ES415,NUTS3
ES168,ES423,NUTS3
ES194,ES431,NUTS3
ES210,ES113,NUTS3
ES108,ES120,NUTS3
ES153,ES416,NUTS3
ES113,ES531,NUTS3
ES114,ES532,NUTS3
ES129,ES703,NUTS3
ES119,ES533,NUTS3
ES130,ES709,NUTS3
ES171,ES424,NUTS3
ES198,ES432,NUTS3
ES215,ES114,NUTS3
ES120,ES705,NUTS3
ES133,ES130,NUTS3
ES155,ES417,NUTS3
ES174,ES425,NUTS3
ES202,ES111,NUTS3
ES218,ES300,NUTS3
ES123,ES708,NUTS3
ES137,ES411,NUTS3
ES158,ES418,NUTS3
ES178,ES511,NUTS3
ES221,ES620,NUTS3
ES124,ES704,NUTS3
ES140,ES412,NUTS3
ES159,ES419,NUTS3
ES182,ES512,NUTS3
ES125,ES707,NUTS3
ES145,ES413,NUTS3
ES161,ES421,NUTS3
ES186,ES513,NUTS3
ES226,ES220,NUTS3
